Depth_modeled,PAR_modeled,Light_measured,PAR_modeled_mean_1_20m,Light_measured_mean_1_20m,Kd_modeled_1_20m,Kd_measured_1_20m,Fluo_measured_mean_1_20m,SlopeFactor,Tag_ID,Profile,SolarAlt,Lat,Lon,Bathy,DOY
240.0,0.0028,,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
245.0,0.0024,,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
250.0,0.0022,,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
0.0,212.6473,,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
5.0,104.0571,129.0544862179404,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
10.0,55.07,87.00964123756827,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
15.0,31.0304,59.537504197849266,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
20.0,17.5165,40.41034773889964,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
25.0,10.4085,27.29115667931308,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
30.0,6.0461,17.995879993936203,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
35.0,3.6726,11.252719998470397,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
40.0,2.0908,6.971662153242231,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
45.0,1.1567,4.571531880749506,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
50.0,0.7299,3.1068489277392466,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
55.0,0.46,2.1308024652197592,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
60.0,0.2949,1.4768603102994569,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
65.0,0.207,1.0246218106378604,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
70.0,0.1406,0.7185295213145169,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
75.0,0.1071,0.5208007858902014,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
80.0,0.0726,0.378348712509123,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
85.0,0.0555,0.25905954991779434,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
90.0,0.0412,0.16939727316981612,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
95.0,0.0337,0.11252821842190948,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
100.0,0.0264,0.07466862216015237,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
105.0,0.0205,0.0480197247080513,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
110.0,0.0166,0.029167739800211485,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
115.0,0.0146,0.01681810393660097,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
120.0,0.0115,0.009575182579501827,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
125.0,0.0097,0.00530604227477091,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
130.0,0.0098,0.0027627675710568196,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
135.0,0.009,0.0014263239352515378,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
140.0,0.0077,,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
145.0,0.0064,,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
150.0,0.0063,,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
155.0,0.0052,,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
160.0,0.0051,,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
165.0,0.0045,,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
170.0,0.0045,,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
175.0,0.0047,,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
180.0,0.0038,,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
185.0,0.0034,,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
190.0,0.0036,,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
195.0,0.0033,,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
200.0,0.0029,,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
205.0,0.0023,,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
210.0,0.0022,,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
215.0,0.0022,,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
220.0,0.0022,,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
225.0,0.0024,,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
230.0,0.0022,,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
235.0,0.0024,,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
240.0,0.0028,,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
245.0,0.0024,,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
250.0,0.0022,,12.273221052631579,20.736459351215192,0.08962749169520706,0.0774058081218215,1.0862355298143096,6.041191469459826,ct157-F116-20,1,38.905661736599235,-48.7066,69.83,-111.52909851074219,12
0.0,487.9675,,41.62198421052632,22.342205886461127,0.07357657638252081,0.044981698694748884,0.6590258550155907,14.091816894750439,ct157-F116-20,20,33.16319040720123,-47.2255,58.0353,-4542.75,22
5.0,261.4042,91.97398658190433,41.62198421052632,22.342205886461127,0.07357657638252081,0.044981698694748884,0.6590258550155907,14.091816894750439,ct157-F116-20,20,33.16319040720123,-47.2255,58.0353,-4542.75,22
10.0,161.9762,74.77775896218392,41.62198421052632,22.342205886461127,0.07357657638252081,0.044981698694748884,0.6590258550155907,14.091816894750439,ct157-F116-20,20,33.16319040720123,-47.2255,58.0353,-4542.75,22
