depth,ED380_ADJUSTED
0.0,0.06468
5.0,0.03237
10.0,0.01611
15.0,0.00882
20.0,0.0043
25.0,0.00234
30.0,0.00121
35.0,0.00081
40.0,0.00055
45.0,0.00031
50.0,0.00021
55.0,0.00017
60.0,9e-05
65.0,7e-05
70.0,5e-05
75.0,4e-05
80.0,3e-05
85.0,2e-05
90.0,2e-05
95.0,2e-05
100.0,2e-05
105.0,1e-05
110.0,1e-05
115.0,1e-05
120.0,1e-05
125.0,1e-05
130.0,1e-05
135.0,0.0
140.0,0.0
145.0,0.0
150.0,0.0
155.0,0.0
160.0,1e-05
165.0,1e-05
170.0,1e-05
175.0,1e-05
180.0,1e-05
185.0,1e-05
190.0,1e-05
195.0,1e-05
200.0,1e-05
205.0,1e-05
210.0,1e-05
215.0,1e-05
220.0,1e-05
225.0,1e-05
230.0,1e-05
235.0,1e-05
240.0,1e-05
245.0,1e-05
250.0,1e-05
