depth,ED380_ADJUSTED
0.0,0.1292
5.0,0.08505
10.0,0.05068
15.0,0.03055
20.0,0.01908
25.0,0.01176
30.0,0.0072
35.0,0.00458
40.0,0.00339
45.0,0.00222
50.0,0.00155
55.0,0.00114
60.0,0.00082
65.0,0.00059
70.0,0.00042
75.0,0.00029
80.0,0.00024
85.0,0.00017
90.0,0.00012
95.0,9e-05
100.0,7e-05
105.0,5e-05
110.0,4e-05
115.0,3e-05
120.0,2e-05
125.0,2e-05
130.0,1e-05
135.0,1e-05
140.0,1e-05
145.0,1e-05
150.0,1e-05
155.0,0.0
160.0,0.0
165.0,0.0
170.0,0.0
175.0,0.0
180.0,0.0
185.0,0.0
190.0,0.0
195.0,0.0
200.0,0.0
205.0,0.0
210.0,0.0
215.0,0.0
220.0,0.0
225.0,0.0
230.0,0.0
235.0,0.0
240.0,0.0
245.0,0.0
250.0,0.0
