depth,ED412_ADJUSTED
0.0,0.28484
5.0,0.20031
10.0,0.11715
15.0,0.07815
20.0,0.04575
25.0,0.02961
30.0,0.01812
35.0,0.01203
40.0,0.00686
45.0,0.00383
50.0,0.00266
55.0,0.0016
60.0,0.00097
65.0,0.00063
70.0,0.00038
75.0,0.00028
80.0,0.00016
85.0,0.0001
90.0,0.0001
95.0,6e-05
100.0,5e-05
105.0,3e-05
110.0,2e-05
115.0,1e-05
120.0,1e-05
125.0,1e-05
130.0,1e-05
135.0,0.0
140.0,0.0
145.0,0.0
150.0,0.0
155.0,0.0
160.0,0.0
165.0,0.0
170.0,0.0
175.0,0.0
180.0,0.0
185.0,0.0
190.0,0.0
195.0,0.0
200.0,0.0
205.0,0.0
210.0,0.0
215.0,0.0
220.0,0.0
225.0,0.0
230.0,0.0
235.0,0.0
240.0,0.0
245.0,0.0
250.0,0.0
