depth,ED490_ADJUSTED
0.0,0.30697
5.0,0.20581
10.0,0.09542
15.0,0.04199
20.0,0.0232
25.0,0.0115
30.0,0.00511
35.0,0.0025
40.0,0.00155
45.0,0.00129
50.0,0.00078
55.0,0.00046
60.0,0.0003
65.0,0.0002
70.0,0.00022
75.0,0.00012
80.0,0.0001
85.0,8e-05
90.0,5e-05
95.0,4e-05
100.0,4e-05
105.0,3e-05
110.0,2e-05
115.0,2e-05
120.0,2e-05
125.0,2e-05
130.0,1e-05
135.0,1e-05
140.0,1e-05
145.0,1e-05
150.0,1e-05
155.0,1e-05
160.0,1e-05
165.0,1e-05
170.0,0.0
175.0,1e-05
180.0,0.0
185.0,0.0
190.0,0.0
195.0,0.0
200.0,0.0
205.0,0.0
210.0,0.0
215.0,0.0
220.0,0.0
225.0,0.0
230.0,0.0
235.0,0.0
240.0,0.0
245.0,0.0
250.0,0.0
