depth,ED490_ADJUSTED
0.0,0.11361
5.0,0.09234
10.0,0.05679
15.0,0.03786
20.0,0.02759
25.0,0.01666
30.0,0.01059
35.0,0.00732
40.0,0.00579
45.0,0.00386
50.0,0.00266
55.0,0.00145
60.0,0.00099
65.0,0.00067
70.0,0.00046
75.0,0.00032
80.0,0.00024
85.0,0.00015
90.0,0.0001
95.0,7e-05
100.0,6e-05
105.0,4e-05
110.0,3e-05
115.0,2e-05
120.0,2e-05
125.0,1e-05
130.0,1e-05
135.0,1e-05
140.0,1e-05
145.0,0.0
150.0,0.0
155.0,0.0
160.0,0.0
165.0,0.0
170.0,0.0
175.0,0.0
180.0,0.0
185.0,0.0
190.0,0.0
195.0,0.0
200.0,0.0
205.0,0.0
210.0,0.0
215.0,0.0
220.0,0.0
225.0,0.0
230.0,0.0
235.0,0.0
240.0,0.0
245.0,0.0
250.0,0.0
