depth,ED412_ADJUSTED
0.0,0.28484
5.0,0.19862
10.0,0.11292
15.0,0.06419
20.0,0.03622
25.0,0.02222
30.0,0.01296
35.0,0.00804
40.0,0.00464
45.0,0.00264
50.0,0.00183
55.0,0.00106
60.0,0.00063
65.0,0.00043
70.0,0.00027
75.0,0.00019
80.0,0.00013
85.0,9e-05
90.0,9e-05
95.0,6e-05
100.0,5e-05
105.0,4e-05
110.0,2e-05
115.0,2e-05
120.0,2e-05
125.0,1e-05
130.0,1e-05
135.0,1e-05
140.0,1e-05
145.0,0.0
150.0,0.0
155.0,0.0
160.0,0.0
165.0,0.0
170.0,0.0
175.0,0.0
180.0,0.0
185.0,0.0
190.0,0.0
195.0,0.0
200.0,0.0
205.0,0.0
210.0,0.0
215.0,0.0
220.0,0.0
225.0,0.0
230.0,0.0
235.0,0.0
240.0,0.0
245.0,0.0
250.0,0.0
