depth,ED412_ADJUSTED
0.0,0.18417
5.0,0.11473
10.0,0.06896
15.0,0.0414
20.0,0.02656
25.0,0.01578
30.0,0.01107
35.0,0.00735
40.0,0.00523
45.0,0.00361
50.0,0.00253
55.0,0.002
60.0,0.00139
65.0,0.00091
70.0,0.00074
75.0,0.0005
80.0,0.0004
85.0,0.00031
90.0,0.00023
95.0,0.00016
100.0,0.00013
105.0,0.0001
110.0,8e-05
115.0,6e-05
120.0,5e-05
125.0,4e-05
130.0,3e-05
135.0,3e-05
140.0,3e-05
145.0,2e-05
150.0,2e-05
155.0,2e-05
160.0,2e-05
165.0,2e-05
170.0,1e-05
175.0,1e-05
180.0,1e-05
185.0,1e-05
190.0,1e-05
195.0,1e-05
200.0,1e-05
205.0,1e-05
210.0,1e-05
215.0,1e-05
220.0,1e-05
225.0,1e-05
230.0,0.0
235.0,1e-05
240.0,0.0
245.0,0.0
250.0,0.0
